time_ms,signal_0,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9
21,0.0,0.0,1945.0,1936.0,2960.0,0.30100518465042114,0.25620490312576294,0.3427899479866028,1.1519179344177246,0.0
25,0.0,0.0,1949.0,1933.0,2963.0,0.3011574447154999,0.2561316192150116,0.342710942029953,1.326451063156128,0.0
29,0.0,0.0,1484.0,1904.0,2854.0,0.30134016275405884,0.2560442090034485,0.34261563420295715,1.535890817642212,0.0
33,0.0,0.0,895.0,2016.0,3189.0,0.3015228509902954,0.25595739483833313,0.34251976013183594,1.745330572128296,0.0
37,0.0,0.0,1944.0,1921.0,2960.0,0.301705539226532,0.2558711767196655,0.34242331981658936,1.9547703266143799,0.0
41,0.0,0.0,1473.0,1892.0,2861.0,0.3018881678581238,0.2557855248451233,0.342326283454895,2.1642088890075684,0.0
45,0.0,0.0,1077.0,1916.0,3088.0,0.3020707964897156,0.2557004690170288,0.3422287106513977,2.3736472129821777,0.0
49,0.0,0.0,902.0,1991.0,3191.0,0.302253395318985,0.25561603903770447,0.342130571603775,2.583085536956787,0.0
53,3727.912109375,7455824.0,1983.0,1914.0,2971.0,0.302435964345932,0.2555321753025055,0.342031866312027,2.7925238609313965,0.0
57,3727.912109375,7455824.0,1479.0,1886.0,2870.0,0.30261850357055664,0.2554489076137543,0.34193259477615356,3.001962184906006,0.0
61,3727.912109375,7455824.0,934.0,1987.0,3203.0,0.3028010129928589,0.2553662359714508,0.3418327569961548,3.2114005088806152,0.0
65,3727.912109375,7455824.0,1977.0,1901.0,2972.0,0.30298346281051636,0.2552841603755951,0.341732382774353,3.4208388328552246,0.0
69,3727.912109375,7455824.0,1498.0,1871.0,2875.0,0.30316588282585144,0.25520268082618713,0.3416314423084259,3.630277156829834,0.0
73,3727.912109375,7455824.0,1101.0,1897.0,3098.0,0.30334827303886414,0.25512179732322693,0.3415299355983734,3.8397154808044434,0.0
77,3727.912109375,7455824.0,966.0,1969.0,3205.0,0.30353060364723206,0.2550415098667145,0.34142786264419556,4.049153804779053,0.0
81,3727.912109375,7455824.0,2025.0,1875.0,2973.0,0.3037129044532776,0.25496184825897217,0.3413252532482147,4.258592128753662,0.0
85,3727.912109375,7455824.0,1113.0,1880.0,3100.0,0.30389514565467834,0.2548827528953552,0.3412221074104309,4.4680304527282715,0.0
89,3727.912109375,7455824.0,1003.0,1964.0,3216.0,0.3040773272514343,0.2548042833805084,0.34111839532852173,4.677468776702881,0.0
93,3727.912109375,7455824.0,2019.0,1873.0,2981.0,0.30425944924354553,0.2547264099121094,0.3410141170024872,4.88690710067749,0.0
97,3727.912109375,7455824.0,1495.0,1840.0,2880.0,0.30444154143333435,0.2546491324901581,0.34090930223464966,5.0963454246521,0.0
101,3727.912109375,7455824.0,1111.0,1868.0,3114.0,0.304623544216156,0.25457248091697693,0.34080395102500916,5.305783748626709,0.0
105,3727.912109375,7455824.0,1015.0,1939.0,3218.0,0.3048055171966553,0.25449642539024353,0.3406980633735657,5.515222072601318,0.0
109,3727.912109375,0.0,2042.0,1859.0,2988.0,0.3049874007701874,0.2544209957122803,0.3405916094779968,5.724660396575928,0.0
113,3727.912109375,0.0,1145.0,1853.0,3114.0,0.3051692247390747,0.25434616208076477,0.340484619140625,5.934098720550537,0.0
117,3727.912109375,0.0,1012.0,1934.0,3223.0,0.30535098910331726,0.254271924495697,0.3403770923614502,6.1435370445251465,0.0
121,3727.912109375,0.0,2155.0,1850.0,2996.0,0.30553266406059265,0.2541983127593994,0.3402690291404724,6.352975368499756,0.0
125,3727.912109375,0.0,1539.0,1814.0,2892.0,0.30571427941322327,0.25412529706954956,0.34016042947769165,6.562413692474365,0.0
129,3727.912109375,0.0,1171.0,1836.0,3124.0,0.3058958053588867,0.25405290722846985,0.3400512933731079,6.771852016448975,0.0
133,3727.912109375,0.0,1001.0,1915.0,3232.0,0.3060772716999054,0.2539811432361603,0.3399415910243988,6.981290340423584,0.0
137,3727.912109375,0.0,2287.0,1827.0,3004.0,0.3062586486339569,0.25390997529029846,0.3398313820362091,7.190728664398193,0.0
141,3727.912109375,0.0,1236.0,1818.0,3128.0,0.30643993616104126,0.2538394331932068,0.33972063660621643,7.400166988372803,0.0
145,3727.912109375,0.0,1050.0,1895.0,3234.0,0.30662113428115845,0.25376951694488525,0.3396093547344208,7.609605312347412,0.0
149,3727.912109375,0.0,2257.0,1807.0,3001.0,0.30680224299430847,0.2537001967430115,0.33949756622314453,7.8190436363220215,0.0
153,3727.912109375,0.0,1807.0,1778.0,2906.0,0.30698326230049133,0.25363150238990784,0.3393852412700653,8.028482437133789,0.0
157,3727.912109375,0.0,1382.0,1799.0,3140.0,0.30716419219970703,0.25356343388557434,0.3392723798751831,8.237920761108398,0.0
161,3727.912109375,0.0,1111.0,1879.0,3244.0,0.30734503269195557,0.253495991230011,0.3391589820384979,8.447359085083008,0.0
