time_ms,signal_0,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9
16901,60.659339904785156,0.0,3171.0,532.0,2569.0,0.34957778453826904,0.26959583163261414,0.2808263897895813,442.5489501953125,0.0
16905,60.659339904785156,0.0,3141.0,526.0,2560.0,0.349587619304657,0.26965633034706116,0.28075605630874634,442.63623046875,0.0
16909,60.659339904785156,0.0,3211.0,552.0,2801.0,0.3495992422103882,0.26972901821136475,0.28067171573638916,442.740966796875,0.0
16913,60.659339904785156,0.0,2326.0,615.0,2884.0,0.34961071610450745,0.2698018252849579,0.28058743476867676,442.845703125,0.0
16917,60.57143020629883,-175.8193817138672,3143.0,528.0,2560.0,0.3496220111846924,0.2698747217655182,0.2805032730102539,442.950439453125,0.0
16921,60.57143020629883,0.0,3211.0,560.0,2798.0,0.3496331572532654,0.26994770765304565,0.28041914105415344,443.05517578125,0.0
16925,60.57143020629883,0.0,2359.0,611.0,2875.0,0.34964412450790405,0.27002081274986267,0.28033506870269775,443.159912109375,0.0
16929,60.57143020629883,0.0,2605.0,533.0,2658.0,0.3496549129486084,0.27009400725364685,0.28025108575820923,443.2646484375,0.0
16933,60.57143020629883,0.0,3151.0,525.0,2545.0,0.3496655523777008,0.2701672911643982,0.2801671028137207,443.369384765625,0.0
16937,60.57143020629883,0.0,3222.0,552.0,2787.0,0.3496760427951813,0.2702407240867615,0.2800832688808441,443.47412109375,0.0
16941,60.483516693115234,-175.82701110839844,2341.0,609.0,2865.0,0.34968632459640503,0.27031418681144714,0.2799994647502899,443.578857421875,0.0
16945,60.483516693115234,0.0,3138.0,526.0,2547.0,0.34969648718833923,0.27038779854774475,0.2799157202243805,443.68359375,0.0
16949,60.483516693115234,0.0,3255.0,544.0,2775.0,0.3497064411640167,0.2704614996910095,0.2798320949077606,443.788330078125,0.0
16953,60.483516693115234,0.0,2414.0,604.0,2860.0,0.3497162461280823,0.27053529024124146,0.27974843978881836,443.89306640625,0.0
16957,60.483516693115234,0.0,2607.0,546.0,2646.0,0.3497259020805359,0.27060917019844055,0.27966493368148804,443.997802734375,0.0
16961,60.483516693115234,0.0,3146.0,525.0,2536.0,0.3497353792190552,0.2706831693649292,0.2795814573764801,444.1025390625,0.0
16965,60.39560317993164,-175.82701110839844,3233.0,544.0,2766.0,0.34974467754364014,0.270757257938385,0.27949804067611694,444.207275390625,0.0
16969,60.39560317993164,0.0,2395.0,609.0,2850.0,0.34975382685661316,0.270831435918808,0.27941474318504333,444.31201171875,0.0
16973,60.39560317993164,0.0,3139.0,523.0,2529.0,0.34976279735565186,0.2709057331085205,0.2793314456939697,444.416748046875,0.0
16977,60.39560317993164,0.0,3275.0,561.0,2766.0,0.3497715890407562,0.2709801197052002,0.27924829721450806,444.521484375,0.0
16981,60.39560317993164,0.0,2354.0,604.0,2852.0,0.34978026151657104,0.27105459570884705,0.2791651487350464,444.626220703125,0.0
16985,60.39560317993164,0.0,2615.0,536.0,2627.0,0.34978872537612915,0.27112919092178345,0.2790820896625519,444.73095703125,0.0
16989,60.30769348144531,-175.8193817138672,3129.0,520.0,2518.0,0.3497970402240753,0.2712038457393646,0.2789991497993469,444.835693359375,0.0
16993,60.30769348144531,0.0,3247.0,547.0,2755.0,0.34980517625808716,0.27127861976623535,0.2789161801338196,444.9404296875,0.0
16997,60.30769348144531,0.0,2403.0,594.0,2834.0,0.34981316328048706,0.27135345339775085,0.27883338928222656,445.045166015625,0.0
17001,60.30769348144531,0.0,3161.0,522.0,2514.0,0.34982097148895264,0.2714284360408783,0.27875059843063354,445.14990234375,0.0
17005,60.30769348144531,0.0,3278.0,543.0,2744.0,0.3498286008834839,0.2715034782886505,0.2786678969860077,445.254638671875,0.0
17009,60.30769348144531,0.0,2442.0,603.0,2824.0,0.3498360812664032,0.2715786397457123,0.278585284948349,445.359375,0.0
17013,60.21977996826172,-175.82701110839844,2621.0,538.0,2613.0,0.34984341263771057,0.2716538906097412,0.2785027027130127,445.464111328125,0.0
17017,60.21977996826172,0.0,3163.0,519.0,2502.0,0.34985053539276123,0.2717292010784149,0.27842023968696594,445.56884765625,0.0
17021,60.21977996826172,0.0,3302.0,542.0,2728.0,0.34985750913619995,0.27180466055870056,0.2783378064632416,445.673583984375,0.0
17025,60.21977996826172,0.0,2477.0,607.0,2823.0,0.34986433386802673,0.271880179643631,0.2782554626464844,445.7783203125,0.0
17029,60.21977996826172,0.0,3147.0,524.0,2497.0,0.3498709797859192,0.27195578813552856,0.2781732380390167,445.883056640625,0.0
17033,60.21977996826172,0.0,3276.0,550.0,2731.0,0.3498774468898773,0.2720315158367157,0.2780909836292267,445.98779296875,0.0
17037,60.21977996826172,0.0,2527.0,603.0,2814.0,0.3498837649822235,0.27210733294487,0.27800890803337097,446.092529296875,0.0
17041,60.131866455078125,-175.82701110839844,2612.0,538.0,2600.0,0.3498899042606354,0.27218323945999146,0.27792683243751526,446.197265625,0.0
17045,60.131866455078125,0.0,3141.0,516.0,2482.0,0.3498958945274353,0.2722592353820801,0.2778448462486267,446.302001953125,0.0
17049,60.131866455078125,0.0,3323.0,540.0,2712.0,0.3499017059803009,0.27233532071113586,0.2777629792690277,446.40673828125,0.0
17053,60.131866455078125,0.0,2643.0,536.0,2589.0,0.3499073386192322,0.2724114954471588,0.2776811718940735,446.511474609375,0.0
17057,60.131866455078125,0.0,3191.0,517.0,2478.0,0.3499128222465515,0.2724877595901489,0.27759939432144165,446.6162109375,0.0
17061,60.0439567565918,-175.8193817138672,3311.0,558.0,2716.0,0.3499181270599365,0.2725641429424286,0.277517706155777,446.720947265625,0.0
17065,60.0439567565918,0.0,2525.0,600.0,2792.0,0.3499232828617096,0.272640585899353,0.27743610739707947,446.82568359375,0.0
17069,60.0439567565918,0.0,2659.0,535.0,2580.0,0.34992825984954834,0.272717148065567,0.2773545980453491,446.930419921875,0.0
17073,60.0439567565918,0.0,3121.0,520.0,2468.0,0.34993308782577515,0.2727937698364258,0.27727314829826355,447.03515625,0.0
17077,60.0439567565918,0.0,3311.0,544.0,2702.0,0.34993770718574524,0.2728705108165741,0.27719175815582275,447.139892578125,0.0
17081,60.0439567565918,0.0,2659.0,533.0,2573.0,0.3499422073364258,0.2729473412036896,0.2771104574203491,447.24462890625,0.0
17085,59.9560432434082,-175.82701110839844,3189.0,518.0,2460.0,0.3499464988708496,0.27302423119544983,0.27702921628952026,447.349365234375,0.0
17089,59.9560432434082,0.0,3332.0,531.0,2686.0,0.3499506413936615,0.27310124039649963,0.27694812417030334,447.4541015625,0.0
17093,59.9560432434082,0.0,2441.0,602.0,2778.0,0.34995463490486145,0.2731783390045166,0.2768670320510864,447.558837890625,0.0
17097,59.9560432434082,0.0,2659.0,542.0,2568.0,0.3499584197998047,0.27325552701950073,0.27678602933883667,447.66357421875,0.0
17101,59.9560432434082,0.0,3152.0,520.0,2452.0,0.3499620854854584,0.27333277463912964,0.27670517563819885,447.768310546875,0.0
17105,59.9560432434082,0.0,3301.0,551.0,2695.0,0.34996554255485535,0.2734101414680481,0.27662426233291626,447.873046875,0.0
17109,59.9560432434082,0.0,2675.0,545.0,2562.0,0.3499688506126404,0.2734875977039337,0.2765435576438904,447.977783203125,0.0
17113,59.868133544921875,-175.8193817138672,3198.0,520.0,2448.0,0.3499720096588135,0.2735651135444641,0.2764628529548645,448.08251953125,0.0
17117,59.868133544921875,0.0,3347.0,534.0,2670.0,0.34997498989105225,0.27364274859428406,0.2763822674751282,448.187255859375,0.0
17121,59.78022003173828,-175.82701110839844,2539.0,600.0,2755.0,0.3499777913093567,0.27372047305107117,0.276301771402359,448.2919921875,0.0
17125,59.78022003173828,0.0,2696.0,532.0,2544.0,0.3499804139137268,0.27379825711250305,0.27622127532958984,448.396728515625,0.0
17129,59.78022003173828,0.0,3118.0,502.0,2423.0,0.349982887506485,0.2738761603832245,0.276140958070755,448.50146484375,0.0
17133,59.78022003173828,0.0,3350.0,536.0,2661.0,0.3499852120876312,0.2739541232585907,0.27606067061424255,448.606201171875,0.0
17137,59.78022003173828,0.0,2703.0,528.0,2534.0,0.34998735785484314,0.27403220534324646,0.2759804427623749,448.7109375,0.0
17141,59.69230651855469,-175.82701110839844,3135.0,522.0,2430.0,0.3499893248081207,0.274110347032547,0.27590036392211914,448.815673828125,0.0
17145,59.69230651855469,0.0,3359.0,544.0,2656.0,0.349991112947464,0.2741885781288147,0.275820255279541,448.92041015625,0.0
17149,59.69230651855469,0.0,2627.0,601.0,2741.0,0.3499927520751953,0.27426689863204956,0.2757403254508972,449.025146484375,0.0
17153,59.69230651855469,0.0,2683.0,540.0,2534.0,0.3499942421913147,0.2743453085422516,0.2756604552268982,449.1298828125,0.0
17157,59.69230651855469,0.0,3143.0,512.0,2404.0,0.34999555349349976,0.2744238078594208,0.27558064460754395,449.234619140625,0.0
17161,59.69230651855469,0.0,3364.0,542.0,2654.0,0.3499966859817505,0.27450239658355713,0.27550095319747925,449.33935546875,0.0
17165,59.69230651855469,0.0,2735.0,534.0,2521.0,0.3499976396560669,0.27458104491233826,0.27542126178741455,449.444091796875,0.0
17169,59.69230651855469,0.0,3203.0,517.0,2405.0,0.34999844431877136,0.27465978264808655,0.2753417491912842,449.548828125,0.0
17173,59.60439682006836,-175.8193817138672,3355.0,541.0,2644.0,0.3499990701675415,0.2747386395931244,0.2752622663974762,449.653564453125,0.0
17177,59.60439682006836,0.0,2691.0,598.0,2724.0,0.3499995470046997,0.274817556142807,0.2751828730106354,449.75830078125,0.0
17181,59.60439682006836,0.0,2693.0,540.0,2516.0,0.3499998450279236,0.2748965620994568,0.2751035988330841,449.863037109375,0.0
17185,59.60439682006836,0.0,3163.0,508.0,2391.0,0.3499999940395355,0.27497565746307373,0.27502432465553284,449.9677734375,0.0
17189,59.60439682006836,0.0,3387.0,564.0,2631.0,0.34999996423721313,0.27505481243133545,0.2749452292919159,450.072509765625,0.0
17193,59.60439682006836,0.0,2619.0,618.0,2731.0,0.3499997854232788,0.2751340866088867,0.27486616373062134,450.17724609375,0.0
17197,59.60439682006836,0.0,2723.0,534.0,2504.0,0.34999942779541016,0.2752068042755127,0.27478718757629395,450.281982421875,0.0
17201,59.60439682006836,0.0,3373.0,544.0,2615.0,0.34999892115592957,0.2752861976623535,0.2747149169445038,450.38671875,0.0
17205,59.60439682006836,0.0,2595.0,588.0,2710.0,0.34999823570251465,0.2753657102584839,0.27463605999946594,450.48272705078125,0.0
17209,59.60439682006836,0.0,2702.0,536.0,2504.0,0.3499973714351654,0.27544528245925903,0.27455735206604004,450.58746337890625,0.0
17213,59.516483306884766,-175.82701110839844,3158.0,481.0,2380.0,0.3499963581562042,0.27552494406700134,0.2744787037372589,450.69219970703125,0.0
17217,59.516483306884766,0.0,3388.0,555.0,2616.0,0.3499951660633087,0.2756046950817108,0.27440014481544495,450.79693603515625,0.0
17221,59.516483306884766,0.0,2624.0,599.0,2704.0,0.34999382495880127,0.27568450570106506,0.27432170510292053,450.90167236328125,0.0
17225,59.516483306884766,0.0,2701.0,539.0,2493.0,0.3499922752380371,0.2757644057273865,0.2742432951927185,451.00640869140625,0.0
17229,59.42856979370117,-175.82701110839844,3383.0,570.0,2630.0,0.3499906063079834,0.27584439516067505,0.27416500449180603,451.11114501953125,0.0
17233,59.42856979370117,0.0,2679.0,608.0,2699.0,0.349988728761673,0.2759244441986084,0.2740868031978607,451.21588134765625,0.0
17237,59.42856979370117,0.0,2716.0,532.0,2487.0,0.349986732006073,0.2760046124458313,0.2740086615085602,451.32061767578125,0.0
17241,59.42856979370117,0.0,3194.0,513.0,2371.0,0.349984347820282,0.2760915160179138,0.2739241421222687,451.43408203125,0.0
17245,59.42856979370117,0.0,3389.0,544.0,2610.0,0.3499821722507477,0.2761651277542114,0.273852676153183,451.53009033203125,0.0
17249,59.42856979370117,0.0,2671.0,597.0,2692.0,0.3499796390533447,0.27624550461769104,0.2737748324871063,451.63482666015625,0.0
17253,59.42856979370117,0.0,2719.0,540.0,2480.0,0.34997695684432983,0.2763260006904602,0.27369704842567444,451.73956298828125,0.0
17257,59.340660095214844,-175.8193817138672,3419.0,567.0,2612.0,0.3499740958213806,0.27640652656555176,0.2736193537712097,451.84429931640625,0.0
17261,59.340660095214844,0.0,2575.0,602.0,2678.0,0.34997108578681946,0.2764871418476105,0.27354177832603455,451.94903564453125,0.0
17265,59.340660095214844,0.0,2742.0,538.0,2476.0,0.349967896938324,0.27656787633895874,0.27346423268318176,452.05377197265625,0.0
17269,59.340660095214844,0.0,3163.0,518.0,2354.0,0.3499642312526703,0.276655375957489,0.2733803689479828,452.167236328125,0.0
17273,59.25274658203125,-175.82701110839844,3405.0,538.0,2576.0,0.34996098279953003,0.2767294943332672,0.27330949902534485,452.26324462890625,0.0
17277,59.25274658203125,0.0,2679.0,598.0,2672.0,0.34995731711387634,0.2768104374408722,0.27323225140571594,452.36798095703125,0.0
17281,59.25274658203125,0.0,2731.0,534.0,2459.0,0.34995344281196594,0.27689144015312195,0.2731551229953766,452.47271728515625,0.0
17285,59.25274658203125,0.0,3421.0,545.0,2584.0,0.3499494194984436,0.27697253227233887,0.2730780243873596,452.57745361328125,0.0
17289,59.25274658203125,0.0,2776.0,604.0,2663.0,0.34994521737098694,0.27705371379852295,0.2730010747909546,452.68218994140625,0.0
17293,59.16483688354492,-175.8193817138672,2739.0,534.0,2457.0,0.34994086623191833,0.2771349549293518,0.27292418479919434,452.78692626953125,0.0
17297,59.16483688354492,0.0,3175.0,499.0,2338.0,0.3499363362789154,0.27721625566482544,0.2728409767150879,452.900390625,0.0
17301,59.16483688354492,0.0,3425.0,542.0,2560.0,0.34993165731430054,0.2772976756095886,0.2727707028388977,452.99639892578125,0.0
17305,59.16483688354492,0.0,2665.0,596.0,2661.0,0.34992676973342896,0.2773791551589966,0.27269405126571655,453.10113525390625,0.0
17309,59.16483688354492,0.0,2749.0,535.0,2443.0,0.3499217629432678,0.2774606943130493,0.27261754870414734,453.20587158203125,0.0
17313,59.16483688354492,0.0,3411.0,548.0,2572.0,0.34991654753685,0.2775423228740692,0.2725411057472229,453.31060791015625,0.0
17317,59.07692337036133,-175.82701110839844,2734.0,601.0,2653.0,0.3499111831188202,0.2776240110397339,0.272464781999588,453.41534423828125,0.0
17321,59.07692337036133,0.0,2762.0,529.0,2436.0,0.34990566968917847,0.2777057886123657,0.2723885476589203,453.52008056640625,0.0
17325,59.07692337036133,0.0,3205.0,503.0,2324.0,0.3498999774456024,0.27778762578964233,0.2723124027252197,453.62481689453125,0.0
17329,59.07692337036133,0.0,3420.0,560.0,2560.0,0.34989410638809204,0.2778695523738861,0.27223631739616394,453.72955322265625,0.0
