time_ms,signal_0,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9
3586,194.1977996826172,-2637.359375,2639.0,2956.0,608.0,0.25942736864089966,0.3455924391746521,0.2949804663658142,5634.23828125,0.0
3590,193.23077392578125,-1934.0513916015625,2524.0,3034.0,668.0,0.2569305896759033,0.3435295522212982,0.29954010248184204,5639.47265625,0.0
3594,192.7032928466797,-1054.962158203125,1788.0,3076.0,660.0,0.2544104754924774,0.34057679772377014,0.3050130009651184,5645.75390625,0.0
3598,192.0,-1406.5855712890625,1966.0,3147.0,949.0,0.2524377107620239,0.3371368646621704,0.31042569875717163,5652.03515625,0.0
3602,191.38461303710938,-1230.77392578125,1804.0,3248.0,1111.0,0.25103598833084106,0.33325105905532837,0.31571322679519653,5658.31640625,0.0
3606,190.41758728027344,-1934.0513916015625,1643.0,3199.0,965.0,0.2502220869064331,0.3289657533168793,0.320812463760376,5664.59765625,0.0
3610,189.1868133544922,-2461.5478515625,1459.0,3232.0,1316.0,0.2500058710575104,0.32433295249938965,0.32566148042678833,5670.87890625,0.0
3614,188.04396057128906,-2285.70556640625,1224.0,3323.0,1527.0,0.2503899037837982,0.31940799951553345,0.3302023708820343,5677.16015625,0.0
3618,186.8131866455078,-2461.5478515625,2056.0,3219.0,1457.0,0.25136956572532654,0.31425005197525024,0.3343806564807892,5683.44140625,0.0
3622,185.58241271972656,-2461.5478515625,1644.0,3172.0,1555.0,0.2529330849647522,0.3089210093021393,0.3381461799144745,5689.72265625,0.0
3626,184.43955993652344,-2285.70556640625,1266.0,3142.0,1942.0,0.2550618350505829,0.3034844994544983,0.3414539396762848,5696.00390625,0.0
3630,183.56044006347656,-1758.2396240234375,869.0,3149.0,2113.0,0.25773000717163086,0.29800650477409363,0.3442637324333191,5702.28515625,0.0
3634,182.76922607421875,-1582.4278564453125,1578.0,2992.0,1990.0,0.2609056532382965,0.29255247116088867,0.3465421199798584,5708.56640625,0.0
3638,182.24176025390625,-1054.931640625,1150.0,2932.0,2312.0,0.26455065608024597,0.2871878147125244,0.3482617139816284,5714.84765625,0.0
3642,181.53846740722656,-1406.5855712890625,777.0,2884.0,2492.0,0.2686215937137604,0.2819766700267792,0.34940195083618164,5721.12890625,0.0
