time_ms,signal_0,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9
5561,234.90109252929688,-351.6540222167969,1538.0,2983.0,2012.0,0.2603418231010437,0.2934581935405731,0.34619998931884766,1747.5179443359375,0.0
5565,234.72528076171875,-351.6235046386719,1620.0,2963.0,2017.0,0.26090505719184875,0.292553186416626,0.34654173254966736,1748.5653076171875,0.0
5569,234.54945373535156,-351.6540222167969,1148.0,2969.0,2276.0,0.2615981698036194,0.2914704978466034,0.3469313085079193,1749.8221435546875,0.0
5573,234.2857208251953,-527.4658203125,767.0,3008.0,2354.0,0.2623097896575928,0.2903918921947479,0.34729835391044617,1751.0789794921875,0.0
5577,234.10989379882812,-351.6540222167969,1594.0,2916.0,2086.0,0.2630394995212555,0.28931790590286255,0.34764257073402405,1752.3358154296875,0.0
5581,234.10989379882812,0.0,1148.0,2929.0,2332.0,0.2637869417667389,0.288249135017395,0.3479638695716858,1753.5926513671875,0.0
5585,234.02197265625,-175.84226989746094,781.0,2966.0,2396.0,0.26455190777778625,0.2871859669685364,0.34826213121414185,1754.8494873046875,0.0
5589,234.02197265625,0.0,1744.0,2875.0,2201.0,0.265333890914917,0.2861289381980896,0.3485371470451355,1756.1063232421875,0.0
5593,233.84616088867188,-351.6235046386719,1572.0,2852.0,2163.0,0.26613256335258484,0.28507858514785767,0.3487888276576996,1757.3631591796875,0.0
5597,233.58241271972656,-527.496337890625,1149.0,2852.0,2418.0,0.266947478055954,0.28403550386428833,0.34901702404022217,1758.6199951171875,0.0
5601,233.3186798095703,-527.4658203125,770.0,2887.0,2516.0,0.26777833700180054,0.28300002217292786,0.3492215871810913,1759.8768310546875,0.0
5605,233.14285278320312,-351.6540222167969,1614.0,2776.0,2254.0,0.2686247229576111,0.281972736120224,0.3494025468826294,1761.1336669921875,0.0
5609,233.05494689941406,-175.81175231933594,1148.0,2772.0,2506.0,0.2694861888885498,0.2809540927410126,0.3495596945285797,1762.3905029296875,0.0
5613,232.87911987304688,-351.6540222167969,763.0,2794.0,2586.0,0.2703622877597809,0.2799447178840637,0.3496929705142975,1763.6473388671875,0.0
5617,232.7032928466797,-351.6540222167969,1748.0,2711.0,2403.0,0.27125272154808044,0.2789449095726013,0.3498023748397827,1764.9041748046875,0.0
5621,232.43955993652344,-527.4658203125,1618.0,2680.0,2368.0,0.2721569538116455,0.27795520424842834,0.34988781809806824,1766.1610107421875,0.0
5625,232.26373291015625,-351.6540222167969,1144.0,2674.0,2619.0,0.27307453751564026,0.27697622776031494,0.3499492406845093,1767.4178466796875,0.0
5629,232.1758270263672,-175.81175231933594,763.0,2706.0,2716.0,0.27400514483451843,0.2760082185268402,0.34998661279678345,1768.6746826171875,0.0
5633,232.0,-351.6540222167969,1636.0,2588.0,2438.0,0.27494823932647705,0.2750517725944519,0.34999996423721313,1769.9315185546875,0.0
5637,231.73626708984375,-527.4658203125,1144.0,2593.0,2692.0,0.2759034335613251,0.27410730719566345,0.34998923540115356,1771.1883544921875,0.0
5641,231.64834594726562,-175.84226989746094,760.0,2603.0,2787.0,0.27687010169029236,0.2731753885746002,0.3499544858932495,1772.4451904296875,0.0
5645,231.4725341796875,-351.6235046386719,1733.0,2512.0,2584.0,0.2778480052947998,0.2722563147544861,0.3498956561088562,1773.7020263671875,0.0
5649,231.2967071533203,-351.6540222167969,1637.0,2486.0,2560.0,0.27883654832839966,0.27135059237480164,0.3498128354549408,1774.9588623046875,0.0
5653,231.03297424316406,-527.4658203125,1153.0,2472.0,2796.0,0.2798352837562561,0.2704586386680603,0.3497060537338257,1776.2156982421875,0.0
5657,230.94505310058594,-175.84226989746094,766.0,2497.0,2889.0,0.2808436453342438,0.2695809602737427,0.34957537055015564,1777.4725341796875,0.0
5661,230.76922607421875,-351.6540222167969,1602.0,2400.0,2635.0,0.2818613052368164,0.268717885017395,0.34942081570625305,1778.7293701171875,0.0
5665,230.59339904785156,-351.6540222167969,1164.0,2394.0,2880.0,0.28288766741752625,0.26786983013153076,0.3492424786090851,1779.9862060546875,0.0
5669,230.41758728027344,-351.6235046386719,796.0,2410.0,2965.0,0.2839222848415375,0.2670372426509857,0.3490404188632965,1781.2430419921875,0.0
5673,230.24176025390625,-351.6540222167969,1742.0,2310.0,2758.0,0.28496456146240234,0.2662205994129181,0.34881481528282166,1782.4998779296875,0.0
5677,230.06593322753906,-351.6540222167969,1614.0,2288.0,2720.0,0.2860141396522522,0.2654201090335846,0.3485657274723053,1783.7567138671875,0.0
5681,229.89010620117188,-351.6540222167969,1186.0,2278.0,2973.0,0.28707048296928406,0.2646362781524658,0.3482932150363922,1785.0135498046875,0.0
5685,229.7142791748047,-351.6540222167969,1764.0,2228.0,2818.0,0.28813299536705017,0.2638694643974304,0.3479975163936615,1786.2703857421875,0.0
5689,229.62637329101562,-175.81175231933594,1589.0,2224.0,2778.0,0.28920117020606995,0.2631201148033142,0.3476787209510803,1787.5272216796875,0.0
5693,229.45054626464844,-351.6540222167969,1197.0,2219.0,3007.0,0.29027462005615234,0.2623884081840515,0.34733691811561584,1788.7840576171875,0.0
5697,229.45054626464844,0.0,813.0,2253.0,3087.0,0.2913527488708496,0.26167482137680054,0.34697240591049194,1790.0408935546875,0.0
5701,229.45054626464844,0.0,1777.0,2160.0,2870.0,0.29243502020835876,0.26097968220710754,0.3465852439403534,1791.2977294921875,0.0
5705,229.27471923828125,-351.6540222167969,1618.0,2134.0,2818.0,0.29352086782455444,0.2603033781051636,0.3461757302284241,1792.5545654296875,0.0
5709,229.010986328125,-527.4658203125,1214.0,2136.0,3078.0,0.2946099042892456,0.25964611768722534,0.34574398398399353,1793.8114013671875,0.0
5713,228.8351593017578,-351.6540222167969,1814.0,2078.0,2926.0,0.2957015335559845,0.2590082585811615,0.3452901542186737,1795.0682373046875,0.0
5717,228.6593475341797,-351.6235046386719,1486.0,2032.0,2872.0,0.2967952489852905,0.2583901286125183,0.34481462836265564,1796.3250732421875,0.0
5721,228.57142639160156,-175.84226989746094,1207.0,2046.0,3127.0,0.29789039492607117,0.25779208540916443,0.3443175256252289,1797.5819091796875,0.0
5725,228.39559936523438,-351.6540222167969,885.0,2059.0,3200.0,0.29898667335510254,0.2572142779827118,0.34379899501800537,1798.8387451171875,0.0
5729,228.21978759765625,-351.6235046386719,1912.0,1955.0,2978.0,0.3000834286212921,0.25665706396102905,0.3432595133781433,1800.0955810546875,0.0
5733,228.04396057128906,-351.6540222167969,1455.0,1942.0,2930.0,0.3011801242828369,0.2561207115650177,0.3426991105079651,1801.3524169921875,0.0
5737,227.95603942871094,-175.84226989746094,1090.0,1938.0,3172.0,0.3022761642932892,0.2556055188179016,0.3421182632446289,1802.6092529296875,0.0
5741,227.86813354492188,-175.81175231933594,1974.0,1887.0,3010.0,0.30337122082710266,0.2551116347312927,0.3415171205997467,1803.8660888671875,0.0
5745,227.78021240234375,-175.84226989746094,1474.0,1878.0,2960.0,0.3044646382331848,0.2546393573284149,0.3408959209918976,1805.1229248046875,0.0
5749,227.60440063476562,-351.6235046386719,1212.0,1872.0,3195.0,0.3055558204650879,0.2541889548301697,0.34025517106056213,1806.3797607421875,0.0
5753,227.42857360839844,-351.6540222167969,990.0,1890.0,3272.0,0.3066444396972656,0.25376054644584656,0.3395950198173523,1807.6365966796875,0.0
5757,227.25274658203125,-351.6540222167969,2155.0,1786.0,3048.0,0.3077298402786255,0.25335437059402466,0.33891570568084717,1808.8934326171875,0.0
5761,227.07691955566406,-351.6540222167969,1738.0,1765.0,2996.0,0.3088115453720093,0.2529706656932831,0.3382177948951721,1810.1502685546875,0.0
