time_ms,signal_0,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9
7641,3727.912109375,0.0,2034.0,1923.0,1872.0,0.5209327936172485,0.5209327936172485,0.5209327936172485,4.001118183135986,0.0
7645,3727.912109375,0.0,2025.0,1921.0,1866.0,0.5209409594535828,0.5209409594535828,0.5209409594535828,4.002688884735107,0.0
7649,3727.912109375,0.0,2223.0,1870.0,1749.0,0.5209519267082214,0.5209519267082214,0.5209519267082214,4.0047831535339355,0.0
7653,3727.912109375,0.0,2434.0,1913.0,1929.0,0.5209628939628601,0.5209628939628601,0.5209628939628601,4.006877422332764,0.0
7657,3727.912109375,0.0,2430.0,2007.0,2049.0,0.520973801612854,0.520973801612854,0.520973801612854,4.008971691131592,0.0
7661,3727.912109375,0.0,2042.0,1924.0,1870.0,0.5209847688674927,0.5209847688674927,0.5209847688674927,4.01106595993042,0.0
7665,3727.912109375,0.0,2254.0,1872.0,1753.0,0.5209956765174866,0.5209956765174866,0.5209956765174866,4.013160228729248,0.0
7669,3727.912109375,0.0,2442.0,1989.0,2035.0,0.5210066437721252,0.5210066437721252,0.5210066437721252,4.015254497528076,0.0
7673,3727.912109375,0.0,2013.0,1922.0,1867.0,0.5210175514221191,0.5210175514221191,0.5210175514221191,4.017348766326904,0.0
7677,3727.912109375,0.0,2226.0,1870.0,1751.0,0.5210285186767578,0.5210285186767578,0.5210285186767578,4.019443035125732,0.0
7681,3727.912109375,0.0,2432.0,1916.0,1932.0,0.5210394263267517,0.5210394263267517,0.5210394263267517,4.0215373039245605,0.0
7685,3727.912109375,0.0,2440.0,2000.0,2042.0,0.5210503935813904,0.5210503935813904,0.5210503935813904,4.023631572723389,0.0
7689,3727.912109375,0.0,2036.0,1920.0,1868.0,0.5210613012313843,0.5210613012313843,0.5210613012313843,4.025725841522217,0.0
7693,3727.912109375,0.0,2230.0,1874.0,1753.0,0.521072268486023,0.521072268486023,0.521072268486023,4.027820110321045,0.0
7697,3727.912109375,0.0,2440.0,2000.0,2041.0,0.5210831761360168,0.5210831761360168,0.5210831761360168,4.029914379119873,0.0
7701,3727.912109375,0.0,2032.0,1920.0,1866.0,0.5210941433906555,0.5210941433906555,0.5210941433906555,4.032008647918701,0.0
7705,3727.912109375,0.0,2246.0,1872.0,1753.0,0.5211050510406494,0.5211050510406494,0.5211050510406494,4.034102916717529,0.0
7709,3727.912109375,0.0,2439.0,1913.0,1933.0,0.5211160182952881,0.5211160182952881,0.5211160182952881,4.036197185516357,0.0
7713,3727.912109375,0.0,2442.0,1998.0,2041.0,0.521126925945282,0.521126925945282,0.521126925945282,4.0382914543151855,0.0
7717,3727.912109375,0.0,2031.0,1918.0,1866.0,0.5211378931999207,0.5211378931999207,0.5211378931999207,4.040385723114014,0.0
7721,3727.912109375,0.0,2256.0,1872.0,1754.0,0.5211488008499146,0.5211488008499146,0.5211488008499146,4.042479991912842,0.0
7725,3727.912109375,0.0,2433.0,2015.0,2054.0,0.5211597681045532,0.5211597681045532,0.5211597681045532,4.04457426071167,0.0
7729,3727.912109375,0.0,2037.0,1919.0,1867.0,0.5211706757545471,0.5211706757545471,0.5211706757545471,4.046668529510498,0.0
7733,3727.912109375,0.0,2244.0,1868.0,1749.0,0.5211816430091858,0.5211816430091858,0.5211816430091858,4.048762798309326,0.0
7737,3727.912109375,0.0,2445.0,1915.0,1939.0,0.5211925506591797,0.5211925506591797,0.5211925506591797,4.050857067108154,0.0
7741,3727.912109375,0.0,2432.0,2002.0,2044.0,0.5212035179138184,0.5212035179138184,0.5212035179138184,4.052951335906982,0.0
7745,3727.912109375,0.0,2044.0,1922.0,1870.0,0.5212144255638123,0.5212144255638123,0.5212144255638123,4.0550456047058105,0.0
7749,3727.912109375,0.0,2248.0,1871.0,1753.0,0.5212253928184509,0.5212253928184509,0.5212253928184509,4.057139873504639,0.0
7753,3727.912109375,0.0,2428.0,2000.0,2045.0,0.5212363004684448,0.5212363004684448,0.5212363004684448,4.059234142303467,0.0
7757,3727.912109375,0.0,2034.0,1922.0,1869.0,0.5212472677230835,0.5212472677230835,0.5212472677230835,4.061328411102295,0.0
7761,3727.912109375,0.0,2243.0,1881.0,1757.0,0.5212581753730774,0.5212581753730774,0.5212581753730774,4.063422679901123,0.0
