time_ms,signal_0,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9,signal_10,signal_11,signal_12,signal_13,signal_14
36641,358.945068359375,0.0,2436.0,2037.0,2054.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36645,358.945068359375,0.0,2438.0,2037.0,2055.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36649,358.945068359375,0.0,1995.0,1907.0,1861.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36653,358.945068359375,0.0,2208.0,1862.0,1725.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36657,358.945068359375,0.0,2444.0,2029.0,2050.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36661,358.945068359375,0.0,1985.0,1916.0,1868.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36665,358.945068359375,0.0,2207.0,1858.0,1722.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36669,358.945068359375,0.0,2434.0,1952.0,1935.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36673,358.945068359375,0.0,2438.0,2024.0,2045.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36677,358.945068359375,0.0,1986.0,1913.0,1865.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36681,358.945068359375,0.0,2427.0,1943.0,1928.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36685,358.945068359375,0.0,2448.0,2035.0,2057.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36689,358.945068359375,0.0,1988.0,1912.0,1863.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36693,358.945068359375,0.0,2205.0,1855.0,1726.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36697,358.945068359375,0.0,2428.0,1945.0,1931.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36701,358.945068359375,0.0,2444.0,2036.0,2053.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36705,358.945068359375,0.0,1989.0,1914.0,1869.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36709,358.945068359375,0.0,2430.0,1948.0,1932.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36713,358.945068359375,0.0,2440.0,2037.0,2052.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36717,358.945068359375,0.0,1991.0,1915.0,1865.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36721,358.945068359375,0.0,2211.0,1856.0,1722.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36725,358.945068359375,0.0,2440.0,1948.0,1932.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36729,358.945068359375,0.0,2447.0,2036.0,2052.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36733,358.945068359375,0.0,1987.0,1912.0,1868.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36737,358.945068359375,0.0,2434.0,1946.0,1932.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36741,358.945068359375,0.0,2438.0,2031.0,2050.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36745,358.945068359375,0.0,1983.0,1913.0,1865.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36749,358.945068359375,0.0,2215.0,1863.0,1726.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36753,358.945068359375,0.0,2431.0,1945.0,1930.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36757,358.945068359375,0.0,2435.0,2049.0,2063.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36761,358.945068359375,0.0,1994.0,1916.0,1867.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36765,358.945068359375,0.0,2425.0,1947.0,1928.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36769,358.945068359375,0.0,2439.0,2040.0,2058.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36773,358.945068359375,0.0,1993.0,1914.0,1865.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36777,358.945068359375,0.0,2209.0,1859.0,1722.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36781,358.945068359375,0.0,2434.0,1949.0,1931.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
36785,358.945068359375,0.0,2441.0,2031.0,2049.0,0.5,0.5,0.5,,-0.0,2.4168009757995605,0.0,0.0,0.0,0.0
